player_id,player_name,team,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
21141,"Will Shipley",PHI,clay|cbs|nfl,16.5,32.7,246.7,1.7,10,73.3,0.3,0,0,0,0,208.9
15281,"Kareem Hunt",KC,clay|cbs|nfl,14.5,53.7,305.7,3.3,18,121.3,0.7,0,0,0,0,209.1
21144,"MarShawn Lloyd",GB,clay|cbs|nfl,14.5,66.7,344,2.7,12.7,103.7,0.7,0.7,0,0,0,213
22124,"Jarquez Hunter",LAR,clay|cbs|nfl,14.5,38,244.7,2,8.3,68.7,0.3,0.7,0,0,0,217
22130,"Jacory Croskey-Merritt",WAS,clay|cbs|nfl,16.5,73.3,490.3,4.3,16,133.3,1,0.7,0,0,0,218.1
22117,"Brashard Smith",KC,clay|nfl,13.5,5,97,0.5,11,80.5,0.5,0,0,0,0,221.2
22096,"DJ Giddens",IND,clay|cbs|nfl,16.5,16.3,186.7,1.3,7.7,58.3,0,0,0,0,0,225
22104,"Devin Neal",NO,clay|cbs|nfl,16.5,22.7,204.7,1.3,7,54,0.3,0,0,0,0,230.2
22109,"Woody Marks",HST,clay|nfl,14.5,24.5,199,1,19.5,143,1,0,0,0,0,233.2
17039,"Miles Sanders",DAL,clay|cbs|nfl,16,66.7,412.7,2.7,14.7,95.7,0.7,0.3,0,0,0,235.6
20344,"Keaton Mitchell",BLT,clay|cbs|nfl,16,43,299,1.3,7,75,0.3,0,0,0,0,236.8
22300,"Tahj Brooks",CIN,clay|cbs|nfl,16.5,26,221.3,2,8.3,70.7,0.3,0.7,0,0,0,238
21769,"Carson Steele",KC,clay|cbs|nfl,12.5,24,81,0.3,4.7,23.7,0,0.7,0,0,0,241
22488,"Raheim Sanders",LAC,nfl,8,0,21,0,2,15,0,0,0,0,0,241
21167,"Rasheen Ali",BLT,clay|nfl,14.5,2.5,81,0.5,2.5,17.5,0,0,0,0,0,241.1
11911,"Kyle Juszczyk",SF,clay|cbs|nfl,16.5,3.3,22,0.3,15,143.7,1,0.3,0,0,0,241.2
19471,"Ty Chandler",MIN,clay|nfl,16.5,3,77,0.5,5,36.5,0,0,0,0,0,241.2
21175,"Dylan Laube",LV,clay|nfl,12.5,0,10,0,1.5,11,0,0,0,0,0,241.2
18828,"Michael Carter",ARZ,nfl,16,0,42,0,3,22,0,0,0,0,0,241.4
17967,"Clyde Edwards-Helaire",NO,clay|nfl,12.5,27,129,0.5,4.5,35,0,0,0,0,0,241.4
20829,"Zavier Scott",MIN,cbs,0,32,153,1,3,29,0,0,0,0,0,241.5
15858,"Dare Ogunbowale",HST,clay|nfl,14.5,5.5,38.5,0,5.5,41.5,0,0,0,0,0,241.6
22118,"Kalel Mullings",TEN,clay|nfl,14.5,5,96.5,0.5,3,22,0,0,0,0,0,242.3
20954,"Chris Brooks",GB,clay|nfl,12.5,13.5,120,1,4,28,0,0,0,0,0,242.3
17870,"Craig Reynolds",DET,clay|nfl,16.5,2.5,31,0,2,15.5,0,0,0,0,0,243.3
20304,"Kendre Miller",NO,clay|cbs|nfl,15.5,71,386,3.7,10.3,77.3,0,0.3,0,0,0,243.5
20719,"Emari Demercado",ARZ,clay|cbs|nfl,16.5,15.3,127.3,0.3,9.3,62.7,0,0,0,0,0,243.6
15441,"Jeremy McNichols",WAS,clay|cbs|nfl,12.5,13,73.7,0.7,2.7,15.3,0,0,0,0,0,244.7
19472,"Tyler Goodson",IND,clay|cbs|nfl,16.5,20,109.7,0.7,4.7,31.3,0.3,0,0,0,0,244.7
18832,"Zamir White",LV,nfl,8,0,107,1,3,21,0,0,0,0,0,245.5
