player_id,player_name,team,pos,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
22206,"Terrance Ferguson",LAR,te,clay|cbs|nfl,16.5,0,0,0,21.7,225.3,2,0.3,0,0,0,268.9
22064,"Jalen Milroe",SEA,qb,cbs|nfl,5,27.5,163.5,1.5,0,0,0,0,149,1,1,269.3
22103,"Xavier Restrepo",TEN,wr,nfl,12,0,2,0,10,105,1,0,0,0,0,269.3
19445,"Christian Watson",GB,wr,clay|cbs|nfl,10,1,5.3,0,20,366.7,2.3,0.3,0,0,0,269.4
15938,"Taysom Hill",NO,te,cbs,0,0,0,0,33,274,2,1,0,0,0,270
15346,"Josh Reynolds",NYJ,wr,clay|cbs,17,0,0,0,34,463.5,3.5,0,0,0,0,270.3
21127,"Troy Franklin",DEN,wr,clay|nfl,16.5,1,8.5,0,23,318.5,2.5,0,0,0,0,270.7
21164,"Ben Sinnott",WAS,te,clay|nfl,16.5,0,0,0,22,222.5,2,0,0,0,0,271.3
15467,"Tim Patrick",DET,wr,clay|nfl,15.5,0,0,0,19.5,235.5,2,0,0,0,0,271.4
21161,"Isaiah Davis",NYJ,rb,clay|cbs|nfl,16.5,17.3,146,0.7,5.3,39.3,0,0,0,0,0,271.5
17088,"Dawson Knox",BUF,te,clay|cbs|nfl,16.5,0,0,0,17.7,198.7,1.7,0,0,0,0,271.6
18034,"Antonio Gibson",NE,rb,clay|cbs|nfl,16.5,29,186,0.7,13,105,0.3,0,0,0,0,271.8
21389,"Jordan Whittington",LAR,wr,clay|nfl,16.5,1,21,0,31,350,2.5,0,0,0,0,271.8
22101,"Oronde Gadsden II",LAC,te,clay|cbs|nfl,12.5,0,0,0,19,195.3,1.7,0,0,0,0,271.8
22094,"Trevor Etienne",CAR,rb,clay|cbs|nfl,14.5,32,191.3,1.3,10.7,86.3,0.3,0.3,0,0,0,272.9
22095,"Harold Fannin Jr.",CLV,te,clay|cbs|nfl,16.5,0,0,0,26,252.7,1.3,0.3,0,0,0,273.1
17046,"Ty Johnson",BUF,rb,clay|cbs|nfl,16.5,35.7,233.7,1,15,170,1.7,0,0,0,0,274
21001,"Emanuel Wilson",GB,rb,clay|cbs|nfl,16.5,13,145.3,1,7.3,53.3,0.3,0.3,0,0,0,274.1
20326,"Kayshon Boutte",NE,wr,clay|cbs|nfl,16.5,0,0,0,27.3,368.3,2.3,0,0,0,0,274.1
15362,"Samaje Perine",CIN,rb,clay|cbs|nfl,14.5,29,171,1.3,17.3,153.3,1,0.3,0,0,0,274.4
21154,"Malik Washington",MIA,wr,clay|nfl,16.5,2,20.5,0,25,264.5,1.5,0.5,0,0,0,274.6
17034,"Devin Singletary",NYG,rb,clay|cbs|nfl,16.5,30,217.3,1.3,8,53,0,0.3,0,0,0,275.1
20282,"Michael Mayer",LV,te,clay|cbs|nfl,16.5,0,0,0,30.7,284.7,1.7,0,0,0,0,275.3
18719,"Nick Westbrook-Ikhine",MIA,wr,clay|cbs|nfl,16.5,0,1.7,0,33.3,459.7,4,0,0,0,0,275.6
14714,"Demarcus Robinson",SF,wr,clay|cbs|nfl,16.5,0,0,0,19.7,311.3,2.3,0,0,0,0,275.7
16312,"Marquez Valdes-Scantling",SEA,wr,clay|cbs|nfl,16.5,0,1.3,0,20,340.3,2,0,0,0,0,276.5
18795,"Elijah Moore",BUF,wr,clay|nfl,14.5,0,2,0,11,121.5,1,0,0,0,0,277
12697,"Brandin Cooks",NO,wr,clay|cbs|nfl,16,0,2,0,42.7,498.3,3.3,0,0,0,0,277.6
16833,"Will Dissly",LAC,te,clay|cbs|nfl,16.5,0,0,0,35.3,337.3,2.3,0,0,0,0,277.9
