player_id,player_name,team,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
15671,"Kendrick Bourne",NE,clay|nfl,12.5,1,10.5,0,4,39,0,0,0,0,0,242.1
18015,"Van Jefferson",TEN,clay|nfl,16.5,0,0,0,16.5,208.5,1.5,0,0,0,0,242.2
20332,"Jonathan Mingo",DAL,clay,13,0,0,0,5,64,0,0,0,0,0,242.5
21142,"Malachi Corley",NYJ,clay|nfl,16.5,2.5,20.5,0,11.5,122,1,0,0,0,0,242.7
20323,"Tank Dell",HST,nfl,6,0,0,0,2,24,0,0,0,0,0,242.8
19491,"Devontez Walker",BLT,clay|nfl,14.5,0,2.5,0,4,62,0.5,0,0,0,0,242.8
22267,"Jordan Watkins",SF,clay|nfl,12.5,2,16,0,2.5,32.5,0,0,0,0,0,243.1
11817,"Robert Woods",PIT,clay|nfl,16.5,0,0,0,14,147,1,0,0,0,0,243.5
18786,"Dyami Brown",JAX,clay|cbs|nfl,16.5,0,3.7,0,39.7,513,3,0.3,0,0,0,243.5
15256,"Zay Jones",ARZ,clay|nfl,12.5,0,3,0,11.5,128.5,1,0,0,0,0,243.6
22108,"Tez Johnson",TB,clay|nfl,12.5,0,0,0,4,49.5,0,0,0,0,0,243.7
22269,"Chimere Dike",TEN,clay|nfl,14.5,1,9,0,19,246,1.5,0,0,0,0,244.4
15305,"JuJu Smith-Schuster",KC,clay|nfl,12.5,0,0,0,12.5,133.5,1,0,0,0,0,245.1
21156,"Jacob Cowing",SF,clay,17,0,0,0,2,30,0,0,0,0,0,245.5
17055,"Hunter Renfrow",CAR,clay|nfl,12.5,0,0,0,5,47,0,0,0,0,0,245.6
20277,"Jalin Hyatt",NYG,clay|nfl,12.5,0,0,0,7.5,103,0.5,0,0,0,0,245.7
19454,"John Metchie III",PHI,clay|nfl,14.5,0,0,0,2.5,27.5,0,0,0,0,0,245.7
22081,"Arian Smith",NYJ,clay|nfl,14.5,0,3.5,0,11,134.5,0.5,0,0,0,0,247.2
17170,"Olamide Zaccheaus",CHI,clay|nfl,16.5,1,9,0,11,111,1,0,0,0,0,247.6
17512,"Darius Slayton",NYG,clay|cbs|nfl,16.5,0.7,4.3,0,36.7,558.3,2.7,0,0,0,0,247.9
20314,"Dontayvion Wicks",GB,clay|cbs|nfl,16.5,0,1.7,0,24,303.3,2.7,0,0,0,0,248.5
22336,"KeAndre Lambert-Smith",LAC,clay|nfl,16.5,0,3,0,6,77.5,0.5,0,0,0,0,249.7
22272,"Jaylin Lane",WAS,clay,17,2,13,0,10,120,1,0,0,0,0,249.7
22214,"Tai Felton",MIN,clay|nfl,14.5,0,5.5,0,17.5,214,1.5,0,0,0,0,250.1
19480,"Calvin Austin III",PIT,clay|cbs|nfl,16.5,0,4.7,0,39,526,3.3,0.3,0,0,0,251.7
